prolificId,taskId,visType,responseType,value
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,nodeAnswer,
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,valueAnswer,I don't think so.
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,difficulty,3
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,confidence,4
5a3adffa05f005000104d2aa,S-taskExplore,nodeLink,minutesToComplete,1.05
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,nodeAnswer,T.J.
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,difficulty,2
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,confidence,6
5aeb6f2eb59b0d00012e879f,S-task1,nodeLink,minutesToComplete,2.05
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Jon
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Alex
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Robert
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Lane
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,James
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Micah
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Nils
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Thomas
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Anna
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Nicola
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,Tamara
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,nodeAnswer,EVis2018
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,valueAnswer,29,000
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,accuracy,0
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,correct,0
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,difficulty,6
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,confidence,3
5aeb6f2eb59b0d00012e879f,S-task11,nodeLink,minutesToComplete,4.95
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,nodeAnswer,EVis19
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,nodeAnswer,Mandy
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,difficulty,3
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,confidence,6
5aeb6f2eb59b0d00012e879f,S-task12,nodeLink,minutesToComplete,1.85
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,nodeAnswer,Rob
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,nodeAnswer,Alex
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,nodeAnswer,Micah
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,accuracy,0.5
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,correct,0
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,difficulty,4
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,confidence,5
5aeb6f2eb59b0d00012e879f,S-task12A,nodeLink,minutesToComplete,1.8833333333333333
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,nodeAnswer,Robert
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,difficulty,3
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,confidence,6
5aeb6f2eb59b0d00012e879f,S-task13,nodeLink,minutesToComplete,0.6
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,nodeAnswer,Jason
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,accuracy,0.8
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,correct,0
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,difficulty,6
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,confidence,3
5aeb6f2eb59b0d00012e879f,S-task1A,nodeLink,minutesToComplete,4.533333333333333
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,nodeAnswer,Rob
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,difficulty,4
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,confidence,3
5aeb6f2eb59b0d00012e879f,S-task3,nodeLink,minutesToComplete,2.183333333333333
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,nodeAnswer,AA
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,nodeAnswer,Noeska
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,nodeAnswer,Till
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,nodeAnswer,Jo
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,difficulty,3
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,confidence,5
5aeb6f2eb59b0d00012e879f,S-task4,nodeLink,minutesToComplete,0.36666666666666664
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,nodeAnswer,Robert
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,difficulty,2
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,confidence,6
5aeb6f2eb59b0d00012e879f,S-task4A,nodeLink,minutesToComplete,0.4166666666666667
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,nodeAnswer,Robert
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,accuracy,1
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,correct,1
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,difficulty,2
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,confidence,6
5aeb6f2eb59b0d00012e879f,S-task5,nodeLink,minutesToComplete,1.0166666666666666
5aeb6f2eb59b0d00012e879f,S-task6,nodeLink,nodeAnswer,
